date,rate
2024-02-01,136.97000122070312
2024-02-02,135.89999389648438
2024-02-05,137.17999267578125
2024-02-06,137.58999633789062
2024-02-07,137.38999938964844
2024-02-08,137.33999633789062
2024-02-09,137.67999267578125
2024-02-12,137.25
2024-02-13,137.3800048828125
2024-02-14,138.55999755859375
2024-02-15,138.25999450683594
2024-02-16,137.9199981689453
2024-02-19,137.6999969482422
2024-02-20,137.7100067138672
2024-02-21,137.10000610351562
2024-02-22,137.32000732421875
2024-02-23,137.08999633789062
2024-02-26,137.5
2024-02-27,137.67999267578125
2024-02-28,137.41000366210938
2024-02-29,137.4499969482422
2024-03-01,138.0800018310547
2024-03-04,137.8000030517578
2024-03-05,137.42999267578125
2024-03-06,137.05999755859375
2024-03-07,136.3300018310547
2024-03-08,135.5
2024-03-11,136.0
2024-03-12,135.9199981689453
2024-03-13,135.60000610351562
2024-03-14,134.77000427246094
2024-03-15,136.14999389648438
2024-03-18,136.30999755859375
2024-03-19,136.64999389648438
2024-03-20,136.77000427246094
2024-03-21,135.47999572753906
2024-03-22,136.41000366210938
2024-03-25,137.49000549316406
2024-03-26,137.27999877929688
2024-03-27,137.72000122070312
2024-03-28,138.6999969482422
2024-03-29,138.97999572753906
2024-04-01,138.9600067138672
2024-04-02,139.69000244140625
2024-04-03,139.2899932861328
2024-04-04,138.3800048828125
2024-04-05,138.58999633789062
2024-04-08,138.47000122070312
2024-04-09,138.0800018310547
2024-04-10,138.47999572753906
2024-04-11,139.6300048828125
2024-04-12,140.00999450683594
2024-04-15,141.24000549316406
2024-04-16,141.33999633789062
2024-04-17,141.72999572753906
2024-04-18,141.22999572753906
2024-04-19,140.9199981689453
2024-04-22,140.91000366210938
2024-04-23,140.77999877929688
2024-04-24,140.1300048828125
2024-04-25,139.99000549316406
2024-04-26,139.6199951171875
2024-04-29,140.08999633789062
2024-04-30,139.97000122070312
2024-05-01,140.24000549316406
2024-05-02,139.57000732421875
2024-05-03,139.77999877929688
2024-05-06,139.41000366210938
2024-05-07,139.30999755859375
2024-05-08,139.52000427246094
2024-05-09,139.55999755859375
2024-05-10,139.11000061035156
2024-05-13,139.25
2024-05-14,139.13999938964844
2024-05-15,138.85000610351562
2024-05-16,137.72999572753906
2024-05-17,138.02000427246094
2024-05-20,137.94000244140625
2024-05-21,138.10000610351562
2024-05-22,137.97999572753906
2024-05-23,138.36000061035156
2024-05-24,138.7100067138672
2024-05-27,137.89999389648438
2024-05-28,137.1699981689453
2024-05-29,137.10000610351562
2024-05-30,137.92999267578125
2024-05-31,136.97999572753906
2024-06-03,137.0800018310547
2024-06-04,136.77000427246094
2024-06-05,137.10000610351562
2024-06-06,137.19000244140625
2024-06-07,137.14999389648438
2024-06-10,138.42999267578125
2024-06-11,138.7899932861328
2024-06-12,138.89999389648438
2024-06-13,137.77999877929688
2024-06-14,138.74000549316406
2024-06-17,139.1699981689453
2024-06-18,138.91000366210938
2024-06-19,138.72000122070312
2024-06-20,138.8000030517578
2024-06-21,138.97000122070312
2024-06-24,139.2100067138672
2024-06-25,138.6300048828125
2024-06-26,138.92999267578125
2024-06-27,139.1199951171875
2024-06-28,138.75
2024-07-01,138.22000122070312
2024-07-02,138.5800018310547
2024-07-03,138.42999267578125
2024-07-04,137.8800048828125
2024-07-05,137.7899932861328
2024-07-08,137.6199951171875
2024-07-09,137.36000061035156
2024-07-10,137.5800018310547
2024-07-11,137.35000610351562
2024-07-12,136.97999572753906
2024-07-15,136.39999389648438
2024-07-16,136.5
2024-07-17,136.64999389648438
2024-07-18,136.36000061035156
2024-07-19,137.02999877929688
2024-07-22,137.0500030517578
2024-07-23,137.35000610351562
2024-07-24,137.67999267578125
2024-07-25,137.6300048828125
2024-07-26,137.47999572753906
2024-07-29,137.82000732421875
2024-07-30,137.88999938964844
2024-07-31,137.92999267578125
2024-08-01,138.02000427246094
2024-08-02,138.6699981689453
2024-08-05,137.63999938964844
2024-08-06,137.13999938964844
2024-08-07,137.85000610351562
2024-08-08,137.77999877929688
2024-08-09,138.1300048828125
2024-08-12,138.16000366210938
2024-08-13,137.86000061035156
2024-08-14,137.66000366210938
2024-08-15,137.8300018310547
2024-08-16,138.69000244140625
2024-08-19,138.02999877929688
2024-08-20,136.7100067138672
2024-08-21,136.38999938964844
2024-08-22,136.22999572753906
2024-08-23,136.6999969482422
2024-08-26,136.00999450683594
2024-08-27,136.64999389648438
2024-08-28,136.49000549316406
2024-08-29,137.16000366210938
2024-08-30,137.69000244140625
2024-09-02,138.13999938964844
2024-09-03,138.22000122070312
2024-09-04,138.6300048828125
2024-09-05,138.25
2024-09-06,137.6699981689453
2024-09-09,137.24000549316406
2024-09-10,137.7100067138672
2024-09-11,137.89999389648438
2024-09-12,138.02999877929688
2024-09-13,137.19000244140625
2024-09-16,137.0500030517578
2024-09-17,136.5399932861328
2024-09-18,136.6300048828125
2024-09-19,136.75
2024-09-20,136.17999267578125
2024-09-23,135.97999572753906
2024-09-24,136.2100067138672
2024-09-25,134.72999572753906
2024-09-26,134.91000366210938
2024-09-27,134.52999877929688
2024-09-30,134.8000030517578
2024-10-01,134.83999633789062
2024-10-02,135.19000244140625
2024-10-03,135.0399932861328
2024-10-04,134.97999572753906
2024-10-07,135.4199981689453
2024-10-08,135.02000427246094
2024-10-09,135.19000244140625
2024-10-10,135.42999267578125
2024-10-11,135.7100067138672
2024-10-14,136.55999755859375
2024-10-15,136.57000732421875
2024-10-16,136.8699951171875
2024-10-17,137.3800048828125
2024-10-18,137.35000610351562
2024-10-21,137.08999633789062
2024-10-22,137.55999755859375
2024-10-23,137.99000549316406
2024-10-24,137.97000122070312
2024-10-25,137.08999633789062
2024-10-28,137.82000732421875
2024-10-29,137.3699951171875
2024-10-30,136.94000244140625
2024-10-31,136.4600067138672
2024-11-01,136.5
2024-11-04,137.14999389648438
2024-11-05,136.63999938964844
2024-11-06,135.8800048828125
2024-11-07,137.8800048828125
2024-11-08,137.08999633789062
2024-11-11,138.44000244140625
2024-11-12,138.42999267578125
2024-11-13,138.63999938964844
2024-11-14,139.13999938964844
